year_month,age,male,female,total,source_url
202102,63,587,592,1179,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,88,144,247,391,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,14,752,714,1466,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,39,674,772,1446,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,64,620,648,1268,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,89,96,204,300,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,15,680,624,1304,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,40,762,779,1541,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,65,591,629,1220,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,90,86,175,261,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,16,706,637,1343,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,41,754,766,1520,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,66,624,707,1331,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,91,60,161,221,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,17,727,680,1407,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,42,802,795,1597,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,67,620,708,1328,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
